c1_m1;c1_m2;c1_m3;c2_m1;c2_m2;c2_m3;aspiracjaK;aspiracjaR;sredniKoszt;ryzyko;Rozwi¹zanie
0;533;567;546;56;598;81635;866.03;89176;1911.04;-0.4019027633306362
0;503;597;517;113;570;83635;866.03;90189.9;1774.44;-0.3493480124675512
0;474;626;482;174;544;85635;866.03;91216.5;1639.52;-0.2974724560878139
0;427;673;451;223;526;87635;866.03;92262.7;1507.37;-0.2466374472614855
0;405;695;418;290;492;89635;866.03;93327;1377.69;-0.1967682511002811
0;367;733;394;345;461;91635;866.03;94424.3;1252.69;-0.148685296662817
0;328;772;357;408;435;93635;866.03;95570.9;1134.4;-0.1031995327895136
0;284;816;325;470;405;95635;866.03;96786.2;1025.66;-0.06138250286719047
0;238;862;287;541;372;97635;866.03;98124.2;933.923;-0.02610742131319806
0;187;913;250;622;328;99635;866.03;99678.6;872.098;-0.002333412360733434
0;566;534;568;22;610;81635;1066.03;88449.4;2010.37;-0.3631807605302979
0;530;570;536;76;588;83635;1066.03;89456.4;1873;-0.3103106862898741
0;495;605;507;130;563;85635;1066.03;90473.5;1736.74;-0.2579142626176182
0;456;644;476;183;541;87635;1066.03;91501.8;1603.17;-0.2065529592414353
0;432;668;443;248;509;89635;1066.03;92554.7;1470.74;-0.1556275302248255
0;393;707;414;303;483;91635;1066.03;93628.4;1342.4;-0.1062745978788614
0;352;748;385;359;456;93635;1066.03;94738.2;1218.88;-0.05879795331702829
0;314;786;352;422;426;95635;1066.03;95901.7;1103;-0.01421701051610477
0;264;836;299;521;380;97635;1066.03;97623.5;965.215;6.163057683202621e-008
4;186;910;274;580;346;99635;1066.03;99204.2;888.615;2.296415787672581e-006
0;608;492;577;0;623;81635;1266.03;87733.9;2111.27;-0.3250486622990013
0;556;544;559;37;604;83635;1266.03;88728.4;1972.07;-0.2714986782073983
0;521;579;529;91;580;85635;1266.03;89738.7;1834.93;-0.2187632606410099
0;489;611;498;148;554;87635;1266.03;90759.4;1699.08;-0.1665254347201789
0;458;642;468;206;526;89635;1266.03;91792.6;1565.67;-0.1152239503602727
0;416;684;437;259;504;91635;1266.03;92851.5;1434.63;-0.06483242292353061
0;380;720;409;316;475;93635;1266.03;93933.1;1307.38;-0.01589920225936902
0;315;785;340;378;482;95635;1266.03;95111.6;1190.87;2.879265304189671e-006
0;211;889;308;481;411;97635;1266.03;97588.1;979.353;2.502822334745255e-007
0;177;923;219;626;355;99635;1266.03;99634;881.636;6.140749240338375e-009
0;670;430;571;0;629;81635;1466.03;87062.9;2218.55;-0.2893745974347127
0;584;516;581;0;619;83635;1466.03;88005;2071.86;-0.2329669301063248
0;540;560;553;47;600;85635;1466.03;89009.2;1933.69;-0.179833399572138
0;511;589;523;105;572;87635;1466.03;90022.1;1796.89;-0.1272286966211183
0;478;622;491;162;547;89635;1466.03;91046.2;1661.62;-0.07521112703478031
0;438;662;454;218;528;91635;1466.03;92091.8;1528.42;-0.02434305869238117
0;399;701;424;273;503;93635;1466.03;93158.6;1398.03;2.53882041204291e-006
0;284;816;360;356;484;95635;1466.03;95212.8;1184.92;2.250754795068087e-006
0;247;853;263;524;413;97635;1466.03;97600.3;978.214;1.858397892188141e-007
0;188;912;280;578;342;99635;1466.03;99172.8;889.84;2.46452744663974e-006
0;734;366;574;0;626;81635;1666.03;86432.5;2330.73;-0.2556896829043736
0;649;451;577;0;623;83635;1666.03;87317.1;2176.11;-0.1962395381731988
0;568;532;577;9;614;85635;1666.03;88283.5;2033.17;-0.141179573362924
0;532;568;545;63;592;87635;1666.03;89290.5;1895.43;-0.08823217332182566
0;503;597;513;122;565;89635;1666.03;90305.7;1758.99;-0.03574794409623671
0;451;649;479;169;552;91635;1666.03;91350.7;1623.62;1.515443140619147e-006
7;398;695;432;236;532;93635;1666.03;92670.2;1467.09;5.141904099387216e-006
0;317;783;356;405;439;95635;1666.03;95628.3;1129.07;-0.0001553813876642256
0;222;878;275;503;422;97635;1666.03;97602.2;979.007;1.759733306499814e-007
2;217;881;251;579;370;99635;1666.03;98707.5;909.222;4.944579845210033e-006
0;794;306;575;0;625;81635;1866.03;85829.3;2447.18;-0.2235376305151373
0;713;387;578;0;622;83635;1866.03;86673.1;2286.85;-0.1619199687156372
0;625;475;577;1;622;85635;1866.03;87577;2135.25;-0.1035266152655332
0;557;543;569;23;608;87635;1866.03;88563.6;1994.65;-0.04948856285349217
0;523;577;531;81;588;89635;1866.03;89573.1;1857.25;3.29878592101246e-007
0;452;648;473;190;537;91635;1866.03;91633.4;1586.33;-0.0001463639030760327
0;337;763;432;260;508;93635;1866.03;93636.7;1355.27;-0.0001493986470114488
7;348;745;386;392;422;95635;1866.03;95344.6;1165.96;-0.0001479591349054403
0;250;850;301;508;391;97635;1866.03;97572.9;967.914;-0.000146316006251781
0;187;913;277;550;373;99635;1866.03;98718;909.904;-0.0001447966338207995
0;848;252;570;0;630;81635;2066.03;85246.4;2566.4;-0.1924725441185674
0;772;328;576;0;624;83635;2066.03;86059.7;2401.86;-0.1292276376357271
0;687;413;575;0;625;85635;2066.03;86917.2;2243.6;-0.06833462158576271
0;602;498;582;1;617;87635;2066.03;87844.7;2095.07;-0.01117369951230344
0;530;570;540;69;591;89635;2066.03;89372.3;1884.32;-5.523409705239629e-006
0;417;683;491;119;590;91635;2066.03;90983.6;1684.43;3.472476095200624e-006
0;372;728;361;312;527;93635;2066.03;93626.1;1361.15;4.886886838088545e-008
0;375;725;335;451;414;95635;2066.03;95626.9;1144.29;4.470634120636991e-008
2;308;790;352;413;435;97635;2066.03;95829.7;1111.6;-0.0001305607044809517
0;382;718;146;626;428;99635;2066.03;97055.6;1264.25;1.37474e-005
0;903;197;569;0;631;81635;2266.03;84680.4;2688.02;-0.1623084526809793
0;830;270;576;0;624;83635;2266.03;85470;2520.18;-0.09779862589552954
0;751;349;579;0;621;85635;2266.03;86293.5;2357.25;-0.0350972067549419
0;674;426;478;78;644;87635;2266.03;87631.5;2187.82;-1.672442636954593e-005
0;537;563;540;87;573;89635;2266.03;89587;1855.97;2.568092997173613e-007
0;487;613;500;137;563;91635;2266.03;90618.6;1717.75;-0.0001370536508507553
0;362;738;377;299;524;93635;2266.03;93629.6;1354.74;2.894267773940064e-008
0;320;780;357;406;437;95635;2266.03;95620.4;1129.65;-0.0001325172569589745
8;260;832;402;417;381;97635;2266.03;96749.6;1075.04;-0.0001308034713900549
0;158;942;243;603;354;99635;2266.03;99624.4;879.696;-0.000114238550356105
0;953;147;562;0;638;81635;2466.03;84124.7;2811.42;-0.1328147739786735
0;883;217;571;0;629;83635;2466.03;84897.3;2640.95;-0.06727542166595332
0;801;299;566;0;634;85635;2466.03;85697.2;2473.44;-0.003414127932943805
0;659;441;547;39;614;87635;2466.03;87631.7;2144.39;1.835533483650191e-008
0;602;498;495;135;570;89635;2466.03;89383.8;1905.5;-0.0001298354804597268
0;494;606;488;164;548;91635;2466.03;90895;1681.85;-0.0001288982605551654
0;541;559;366;208;626;93635;2466.03;90290.1;1855.61;1.78272e-005
0;318;782;357;405;438;95635;2466.03;95624.9;1129.32;-0.0001247431007336001
0;252;848;300;511;389;97635;2466.03;97593.4;966.458;-0.000123009603898875
0;173;927;227;620;353;99635;2466.03;99633.5;878.805;1.093449512822192e-008
0;1001;99;554;0;646;81635;2666.03;83582.5;2935.95;-0.1037941395793521
0;932;168;562;0;638;83635;2666.03;84338.2;2763.46;-0.037476859136796
0;807;293;561;2;637;85635;2666.03;85634.1;2488.7;-7.442723251921592e-005
0;614;486;554;0;646;87635;2666.03;87517.3;2147.37;6.283525337095318e-007
0;493;607;516;72;612;89635;2666.03;89633.7;1853.88;8.39928720472316e-009
0;479;621;484;163;553;91635;2666.03;91004.5;1667.33;-0.0001215476597970656
0;450;650;465;207;528;93635;2666.03;91869.5;1556.01;-0.000120613022769711
2;321;777;356;407;437;95635;2666.03;95629.3;1130.39;-0.0001045779512881924
0;247;853;256;500;444;97635;2666.03;97171.8;1025.73;2.471229043214775e-006
0;203;897;198;599;403;99635;2666.03;98798.7;943.739;4.459560795150364e-006
0;1060;40;564;0;636;81635;2866.03;83050.3;3061.98;-0.07542977211058642
0;991;109;570;0;630;83635;2866.03;83792.5;2887.68;-0.008391711196483027
4;828;268;548;0;652;85635;2866.03;85320.7;2559.12;1.675325468186312e-006
0;620;480;572;3;625;87635;2866.03;87625.7;2128.38;-6.673975631432214e-005
0;561;539;441;147;612;89635;2866.03;89625.7;1887.67;-6.271329657884352e-005
0;394;706;456;160;584;91635;2866.03;91631.6;1604.3;2.041386034550002e-008
0;407;693;449;241;510;93635;2866.03;92738.3;1449.56;4.780778912736415e-006
0;450;650;477;123;600;95635;2866.03;90616.8;1728.16;2.67458e-005
0;829;271;454;463;283;97635;2866.03;92006.9;2055.72;2.99954e-005
11;156;933;231;604;365;99635;2866.03;99634.1;885.174;5.996792024599788e-009
0;1099;1;545;0;655;81635;3066.03;82525.2;3188.74;-0.04744281207497191
0;1020;80;566;10;624;83635;3066.03;83629.3;2944.2;-4.234014677031315e-005
0;795;305;501;20;679;85635;3066.03;85635.9;2522.69;-0.0001109432314150355
1;675;424;536;0;664;87635;3066.03;86780.2;2275.71;4.557032503602271e-006
0;665;435;544;0;656;89635;3066.03;86931;2245.63;1.44118e-005
0;486;614;483;207;510;91635;3066.03;91625.3;1590.22;5.29205186463471e-008
0;430;670;438;249;513;93635;3066.03;92557.1;1470.64;-0.0001048472664082582
0;296;804;371;385;444;95635;3066.03;95625.7;1133.67;5.035189326683376e-008
6;302;792;298;500;402;97635;3066.03;96926.7;1025.21;-8.524120958733538e-005
3;141;956;856;0;344;99635;3066.03;94385.3;2269.65;2.79787e-005
0;1100;0;476;0;724;81635;3266.03;82048;3323.73;-0.02218909107831099
0;1078;22;542;0;658;83635;3266.03;82718.4;3141.75;4.757874311888967e-006
0;946;154;466;0;734;85635;3266.03;83546.1;2975.71;1.1133e-005
0;790;310;483;149;568;87635;3266.03;87613.4;2275.61;-6.639147812325249e-005
0;557;543;509;116;575;89635;3266.03;89634.3;1854.51;-4.087009954887053e-005
0;479;621;461;212;527;91635;3266.03;91627;1588.54;-7.373029058789571e-005
0;415;685;547;63;590;93635;3266.03;90493.6;1760.59;1.67443e-005
0;292;808;330;378;492;95635;3266.03;95277.7;1183.1;1.90599785036275e-006
0;212;888;334;473;393;97635;3266.03;97626.8;982.213;4.58605525193894e-008
1;301;798;573;371;256;99635;3266.03;96724.7;1395.1;1.55124e-005
0;1100;0;415;0;785;81635;3466.03;81635.1;3466.83;-0.0003071167521111726
2;1012;86;525;22;653;83635;3466.03;83633.7;2969.85;-4.239535312244873e-005
0;989;111;646;0;554;85635;3466.03;84327.2;2795.01;6.971137776760237e-006
0;772;328;508;0;692;87635;3466.03;85599.5;2507.86;1.08498e-005
0;554;546;515;111;574;89635;3466.03;89626;1854.09;-9.337793097695591e-005
0;493;607;495;114;591;91635;3466.03;90158.5;1781.68;7.870192071569488e-006
0;424;676;481;281;438;93635;3466.03;93417.3;1388.87;-3.065789344355047e-005
5;350;745;365;386;449;95635;3466.03;95076.9;1188.73;-8.768906956352866e-005
2;278;820;481;416;303;97635;3466.03;97055.5;1183.74;3.091620062398955e-006
0;160;940;278;565;357;99635;3466.03;99237.5;897.332;-3.080710105878996e-005
