c1_m1;c1_m2;c1_m3;c2_m1;c2_m2;c2_m3;aspiracjaK;aspiracjaR;sredniKoszt;ryzyko;Rozwi¹zanie
0;548;552;384;189;627;85937;491.23;91970;1450.03;-0.4421588934798313
0;530;570;378;200;622;86437;491.23;92226;1411.09;-0.4242405138897492
0;515;585;376;212;612;86937;491.23;92482.2;1372.56;-0.406430615910224
0;509;591;377;228;595;87437;491.23;92740.3;1334.13;-0.3887119861463022
0;491;609;373;239;588;87937;491.23;92999.1;1295.7;-0.3709863509958704
0;497;603;380;260;560;88437;491.23;93257.8;1257.26;-0.3532874928708447
0;462;638;367;264;569;88937;491.23;93516.1;1218.84;-0.3355708593350215
0;451;649;365;278;557;89437;491.23;93774.3;1180.5;-0.317861023733758
0;445;655;366;294;540;89937;491.23;94032.4;1142.15;-0.3001794098319341
0;439;661;368;310;522;90437;491.23;94291.8;1103.95;-0.2825590434509725
0;435;665;370;327;503;90937;491.23;94552.3;1065.62;-0.2649432747003774
0;429;671;372;343;485;91437;491.23;94811.8;1027.44;-0.2473146857029074
0;420;680;371;358;471;91937;491.23;95072.4;989.42;-0.2297735370411077
0;412;688;375;373;452;92437;491.23;95333.6;951.638;-0.2123210248288645
0;405;695;375;389;436;92937;491.23;95596.6;913.906;-0.1949204417532989
0;393;707;373;403;424;93437;491.23;95861.2;876.575;-0.1777048499232982
0;371;729;365;413;422;93937;491.23;96126.1;839.161;-0.1604513677895423
0;356;744;362;426;412;94437;491.23;96394.6;802.432;-0.1435135529678539
0;350;750;363;443;394;94937;491.23;96666.3;766.035;-0.1267316337512806
0;333;767;355;456;389;95437;491.23;96940.6;730.114;-0.1101919780393005
0;327;773;351;474;375;95937;491.23;97219.2;694.989;-0.09396535799027522
0;314;786;348;489;363;96437;491.23;97502.4;660.517;-0.07807743254971997
0;296;804;354;501;345;96937;491.23;97788.5;626.428;-0.06240391105609305
0;267;833;343;510;347;97437;491.23;98079.9;593.485;-0.04715554505522439
