/*********************************************
 * OPL 12.5.1.0 Data
 * Author: Mateusz
 * Creation Date: 05-05-2016 at 22:52:11
 *********************************************/
 
 //***************Sta³e opisuj¹ce problem************************
 //Realizacja umowy wymaga dostawy [need] okreœlonej liczby sztuk komponentu A/B
 needA = 1100;
 needB = 1200;
 
 //Limity dostawy zasobów produkcyjnych [posSup - possible supply] Z1/Z2 w danym miesi¹cu M1/M2/M3
 posSupZ1M1 = 600;
 posSupZ1M2 = 700;
 posSupZ1M3 = 550;
 posSupZ2M1 = 1400;
 posSupZ2M2 = 900;
 posSupZ2M3 = 1200;
 
 //Zapotrzebowanie na sztukê zasobu produkcyjnego przy produkcji komponentów A i B [part of Z1/Z2 in A/B]
 partOfZ1inA = 0.2;
 partOfZ1inB = 0.7;
 partOfZ2inA = 0.8;
 partOfZ2inB = 0.3;
 
 
 // MPO parameters***********???????????????????????????
costAspiration = //?
riskAspiration = //?

costLambda = //?
riskLambda = //?
beta = 0.001;
epsilon = 0.0005;
 
 //***************Scenariusze************************
 //Rozmiar wektora wartoœci oczekiwanych (means)
 expectedValueSize = 6;
 
 //Wektor wartoœci oczekiwanych kosztu (means)
 expectedValue = [55, 40, 50, 35, 45, 30];
 
 //Rozmiar macierzy scenariuszy
 scenarioSize = 600;
 
 //Macierz wygenerowanych scenariuszy (vecR)
 scenarios = [
 [50.4676515454636 59.9269368495294 53.4468456722046 20.8998298922593 36.4460158824384 36.789063346637]
[56.5765394867646 41.1041032186706 52.6370589323202 35.4439903931599 36.5549367310648 29.6347500969263]
[56.9777229511977 42.8599881146251 54.6073195838943 31.7141043795201 36.9002698415002 35.3563697597656]
[55.7116605336386 35.6870898127329 54.6141426464366 35.700405534163 35.8465449875118 30.9287118000964]
[54.8988267941682 36.165128922777 55.7859577582208 34.6536398097337 38.3361859103198 29.1532269777504]
[56.2281199251087 32.8126640247389 55.5457931628175 37.0130449294851 39.9082704736851 23.9177388973834]
[55.3872631650037 35.4182407951327 54.7540928840737 36.2160975936868 43.6907303851069 21.8238407503062]
[54.4473844781325 32.862038538523 53.4073099861717 38.0564719858751 43.9369851369473 30.734634177109]
[53.5969545186419 36.2301516594822 51.6294304207566 37.7409207576896 45.2512799075472 27.4418588709816]
[54.7157414022394 35.9013268434696 52.2899961012326 36.3845072301807 46.1995423579819 20.8829993325146]
[55.6102359775783 31.3764849582663 53.1053188884617 34.811195648178 46.2858363525225 23.1003199648518]
[53.0408311145849 32.1798670882301 51.9935430397295 38.0425063662535 46.7747482866429 21.6783150175382]
[53.9247043471146 37.1852572155955 50.8519075843886 36.0252328957761 48.5901786722237 27.7982011675035]
[54.8581503087125 37.8795233411556 49.7082874228122 41.209082481171 41.3635137392092 28.4823935947424]
[55.6396105237801 40.5357293783089 49.9187372243956 38.7366156154189 45.969636696033 26.4856056722898]
[57.1968260825793 38.8608049819818 50.3678826017012 50.1449106838512 43.7186881622538 23.51851426651]
[56.5854510353024 37.4947672087819 50.6198627404682 45.6325245879632 47.0788981992296 22.3661595797087]
[54.8120036516016 35.3331340257075 49.2639642623585 42.6709380045199 48.7341058233765 27.3269075875498]
